curie,label,retrieved_at
UBERON:0000010,peripheral nervous system,2026-03-18T01:50:48.285493
UBERON:0000014,zone of skin,2026-03-18T01:52:57.414890
UBERON:0000029,lymph node,2026-03-18T01:51:52.140026
UBERON:0000411,visual cortex,2026-03-18T01:51:38.688919
UBERON:0000451,prefrontal cortex,2026-03-18T01:53:04.188035
UBERON:0000948,heart,2026-03-09T01:28:33.801626
UBERON:0000955,brain,2026-03-18T01:51:52.390565
UBERON:0000956,cerebral cortex,2026-03-18T01:49:41.386787
UBERON:0000966,retina,2026-03-18T01:51:38.695225
UBERON:0001132,parathyroid gland,2026-03-18T01:49:35.067311
UBERON:0001155,colon,2026-03-21T18:35:18.999597
UBERON:0001235,adrenal cortex,2026-03-18T01:51:58.527576
UBERON:0001466,pedal digit,2026-03-18T01:52:22.187513
UBERON:0001645,trigeminal nerve,2026-03-18T01:51:38.693211
UBERON:0001675,trigeminal ganglion,2026-03-18T01:51:38.691217
UBERON:0001707,nasal cavity,2026-03-18T01:51:38.828092
UBERON:0001728,nasopharynx,2026-03-22T04:04:51.466605
UBERON:0001896,medulla oblongata,2026-03-18T01:51:38.837728
UBERON:0001969,blood plasma,2026-03-18T01:50:48.278339
UBERON:0002022,insula,2026-03-18T01:51:38.830749
UBERON:0002097,skin of body,2026-03-22T04:03:51.428195
UBERON:0002104,visual system,2026-03-18T01:51:58.530047
UBERON:0002105,vestibulo-auditory system,2026-03-18T01:51:58.532511
UBERON:0002107,liver,2026-03-18T01:49:41.110279
UBERON:0002108,small intestine,2026-03-18T01:51:52.142151
UBERON:0002113,kidney,2026-03-22T04:06:56.386697
UBERON:0002370,thymus,2026-03-18T01:49:34.752498
UBERON:0002371,bone marrow,2026-03-18T01:50:42.247341
UBERON:0002435,striatum,2026-03-18T01:49:41.389009
UBERON:0002539,pharyngeal arch,2026-03-18T01:49:34.551355
UBERON:0002728,entorhinal cortex,2026-04-05T12:00:36.927305
UBERON:0002925,trigeminal nucleus,2026-03-18T01:51:38.839722
UBERON:0003635,pedal digit 5,2026-03-18T01:52:22.179861
UBERON:0004145,outflow tract,2026-03-18T01:49:34.741493
UBERON:0007124,pharyngeal pouch 3,2026-03-18T01:49:34.553422
UBERON:0011932,pilosebaceous unit,2026-03-18T01:51:44.773477
UBERON:0022232,secondary visual cortex,2026-03-18T01:52:28.009494
